Key,English,Spanish,Russian,Ukrainian,French,Italian,Arabic,Portuguese,German,Urdu
Text.LocalPlay,Local Play,Juego local,Локальная игра,Локальна гра,Jeu local,Gioco locale,اللعب المحلي,Jogo Local,Lokales Spielen,مقامی کھیلیں
Text.ChooseATable,Choose a Table,Elige una mesa,Выберите стол,Виберіть стіл,Choisissez un tableau,Scegli un tavolo,اختر جدولاً,Escolha uma mesa,Wählen Sie eine Tabelle,ایک ٹیبل کا انتخاب کریں۔
Text.CreateATable,Create a Table,Crear una tabla,Создать таблицу,Створіть таблицю,Créer un tableau,Crea una tabella,إنشاء جدول,Crie uma tabela,Erstellen Sie eine Tabelle,ایک ٹیبل بنائیں
Text.EnterName,Enter Name,Ingrese su nombre,Введите имя,Введіть ім'я,Entrez le nom,Inserisci il nome,أدخل الاسم,Insira o nome,Name eingeben,نام درج کریں
Text.StartGame,Start Game,Empezar juego,Начать игру,Почни гру,Démarrer jeu,Inizia il gioco,بدء اللعبة,Começar o jogo,Spiel beginnen,کھیل شروع کریں۔
Text.Information,Information,Información,Информация,Інформація,Information,Informazione,معلومة,Informação,Information,معلومات
Text.MainMenu,Main Menu,Menú principal,Главное меню,Головне меню,Menu principal,Menu principale,القائمة الرئيسية,Menu principal,Hauptmenü,مین مینو
Text.NewGame,New Game,Nuevo juego,Новая игра,Нова гра,Nouveau jeu,Nuovo gioco,لعبة جديدة,Novo jogo,Neues Spiel,نیا کھیل
Text.RollTheDice,Roll the dice,Tirar los dados,Бросить кости,Кинути кістки,Lancer les dés,Tira i dadi,رمي النرد,Lance os dados,Würfeln,ڈائس رول کریں۔
Text.Player0,{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
Text.Player1,{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
Text.Winner:,Winner: {0},Ganador: {0},Победитель: {0},Переможець: {0},Gagnant : {0},Vincitore: {0},الفائز: {0},Vencedor: {0},Gewinner: {0},فاتح: {0}
"Text.PressThe""New Game""ButtonToStartTheGame.","PressThe ""New Game"" Button To Start The Game.","Presione el botón ""Nuevo juego"" para iniciar el juego.","Нажмите кнопку «Новая игра», чтобы начать игру.","Натисніть кнопку «Нова гра», щоб почати гру.",Appuyez sur le bouton « Nouveau jeu » pour démarrer le jeu.,"Premi il pulsante ""Nuovo gioco"" per avviare il gioco.","اضغط على زر ""لعبة جديدة"" لبدء اللعبة.","Pressione o botão ""Novo jogo"" para iniciar o jogo.","Drücken Sie die Schaltfläche „Neues Spiel“, um das Spiel zu starten.","گیم شروع کرنے کے لیے ""نیا گیم"" بٹن دبائیں۔"
Text.WaitingForAnotherPlayer...,Waiting For Another Player...,Esperando a otro jugador...,Жду другого игрока...,Чекаємо іншого гравця...,En attendant un autre joueur...,In attesa di un altro giocatore...,في انتظار لاعب آخر...,Esperando por outro jogador...,Warten auf einen anderen Spieler...,کسی اور کھلاڑی کا انتظار ہے...
Text.Cancel,Cancel,Cancelar,Отмена,Скасувати,Annuler,Annulla,يلغي,Cancelar,Stornieren,منسوخ کریں۔
Text.Back,BACK,ATRÁS,НАЗАД,НАЗАД,DOS,INDIETRO,خلف,VOLTAR,ZURÜCK,پیچھے
Text.Submit,SUBMIT,ENTREGAR,ПРЕДСТАВЛЯТЬ НА РАССМОТРЕНИЕ,ПОДАТИ,SOUMETTRE,INVIA,يُقدِّم,ENVIAR,EINREICHEN,جمع کرائیں
Text.TableName,Table Name,Nombre de la tabla,Имя таблицы,Назва таблиці,Nom de la table,Nome della tabella,اسم الطاولة,Nome da tabela,Tabellenname,ٹیبل کا نام
Text.Time,Time : {0},Hora: {0},Время: {0},Час: {0},Heure : {0},Ora: {0},الوقت : {0},Hora: {0},Zeit: {0},وقت: {0}
Text.Players,Players,Jugadores,Игроки,Гравці,Joueurs,Giocatori,اللاعبين,Jogadoras,Spieler,کھلاڑی
Text.HostUnReachable,Host Unreachable!,¡Host inalcanzable!,Хост недоступен!,Хост недоступний!,Hôte inaccessible!,Host irraggiungibile!,المضيف غير قابل للوصول إليه!,Host inacessível!,Host nicht erreichbar!,میزبان ناقابل رسائی!
Text.RemovedPlayer,Removed player: {0},Jugador eliminado: {0},Удаленный игрок: {0},Видалений гравець: {0},Joueur supprimé : {0},Giocatore rimosso: {0},اللاعب الذي تمت إزالته: {0},Jogador removido: {0},Entfernter Spieler: {0},ہٹا دیا گیا کھلاڑی: {0}
Text.NewGameRequest,New Game Request,Solicitud de nuevo juego,Запрос на новую игру,Новий запит на гру,Demande de nouveau jeu,Nuova richiesta di gioco,طلب لعبة جديدة,Solicitação de novo jogo,Neue Spielanfrage,نئی گیم کی درخواست
Text.Human,Human,Humano,Человек,Людина,Humain,Umano,بشر,Humano,Menschlich,انسان
Text.VsAI,Vs AI,Contra la IA,против ИИ,Проти ШІ,Contre l'IA,Contro l’intelligenza artificiale,مقابل الذكاء الاصطناعي,Contra IA,Gegen KI,بمقابلہ AI
Text.MultiPlayer,MultiPlayer,Multijugador,Мультиплеер,Мультіплеер,Multijoueur,Multigiocatore,متعددة اللاعبين,Multijogador,Multiplayer,ملٹی پلیئر
Text.Settings,Settings,Ajustes,Настройки,Налаштування,Paramètres,Impostazioni,إعدادات,Configurações,Einstellungen,ترتیبات
Text.Tutorial,Tutorial,Tutorial,Руководство,Підручник,Didacticiel,Esercitazione,درس تعليمي,Tutorial,Lernprogramm,ٹیوٹوریل
Text.Music,Music,Música,Музыка,музика,Musique,Musica,موسيقى,Música,Musik,موسیقی
Text.Sound,Sound,Sonido,Звук,Звук,Son,Suono,صوت,Som,Klang,آواز
Text.Pause,Pause,Pausa,Пауза,Пауза,Pause,Pausa,يوقف,Pausa,Pause,توقف
Text.Play,PLAY,JUGAR,ИГРАТЬ,ГРАТИ,JOUER,GIOCARE,يلعب,JOGAR,SPIELEN,کھیلیں
Text.OnlineMode,ONLINE MODE,MODO EN LÍNEA,ОНЛАЙН РЕЖИМ,ОНЛАЙН РЕЖИМ,MODE EN LIGNE,MODALITÀ ONLINE,وضع على شبكة الإنترنت,MODO ONLINE,ONLINEMODUS,آن لائن موڈ
Text.Sounds,Sounds:,Sonidos:,Звуки:,Звуки:,Des sons:,Suoni:,اصوات:,Sons:,Geräusche:,آوازیں:
Text.FullScreen,FullScreen:,Pantalla completa:,Полноэкранный:,Повноекранний:,Plein écran:,A schermo intero:,تكبير الشاشة:,Tela cheia:,Ganzer Bildschirm:,مکمل اسکرین یا بڑی اسکرین:
Text.Language,Language:,Idioma:,Язык:,Мова:,Langue:,Lingua:,لغة:,Linguagem:,Sprache:,زبان:
Text.Home,HOME,HOGAR,ДОМ,ДІМ,MAISON,CASA,بيت,LAR,HEIM,گھر
Text.VsComputer,Vs Computer,contra computadora,против компьютера,Проти комп'ютера,Contre l'ordinateur,Contro il computer,مقابل الكمبيوتر,Contra o computador,Gegen Computer,بمقابلہ کمپیوٹر
Text.PlayComputer,Play Computer,Jugar a la computadora,Играть в компьютер,Гратися на комп'ютері,Jouer à l'ordinateur,Giocare al computer,العب الكمبيوتر,Jogar computador,Computer spielen,کمپیوٹر چلاؤ
Text.Beginner,Difficulty: Beginner,Dificultad: Principiante,Сложность: Новичок,Складність: початківець,Difficulté : Débutant,Difficoltà: Principiante,الصعوبة: مبتدئ,Dificuldade: Iniciante,Schwierigkeit: Anfänger,مشکل: مبتدی
Text.Intermediate,Difficulty: Intermediate,Dificultad: Intermedia,Сложность: Средний,Складність: середня,Difficulté : Intermédiaire,Difficoltà: Intermedia,الصعوبة: متوسطة,Dificuldade: Intermediário,Schwierigkeit: Mittelschwer,مشکل: انٹرمیڈیٹ
Text.GrandMaster,Difficulty: GrandMaster,Dificultad: Gran Maestro,Сложность: ГрандМастер,Складність: GrandMaster,Difficulté : Grand Maître,Difficoltà: Gran Maestro,الصعوبة: جراند ماستر,Dificuldade: Grande Mestre,Schwierigkeit: Großmeister,مشکل: گرینڈ ماسٹر
Text.ButtonBeginner,Beginner,Principiante,Новичок,Початківець,Débutant,Principiante,مبتدئ,Principiante,Anfänger,شروع
Text.ButtonIntermediate,Intermediate,Intermedio,Средний,Проміжний,Intermédiaire,Intermedio,متوسط,Intermediário,Dazwischenliegend,انٹرمیڈیٹ
Text.ButtonGrandMaster,GrandMaster,Loading...,Loading...,гросмейстер,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
Text.Name,Name,Nombre,Имя,Ім'я,Nom,Nome,اسم,Nome,Name,نام
Text.Points,Points,Puntos,Точки,Очки,Points,Punti,نقاط,Pontos,Punkte,پوائنٹس
Text.Score,Score : {0},Puntuación: {0},Оценка: {0},Оцінка: {0},Note : {0},Punteggio: {0},النتيجة : {0},Pontuação: {0},Punktzahl: {0},اسکور: {0}
Text.YouWin,YOU WIN,TÚ GANAS,ТЫ ПОБЕДИЛ,ТИ ВИГРАВ,VOUS GAGNEZ,HAI VINTO,فزت,VOCÊ GANHA,DU GEWINNST,تم جیت گئے
Text.Difficulty,Difficulty,Dificultad,Сложность,Складність,Difficulté,Difficoltà,صعوبة,Dificuldade,Schwierigkeit,مشکل
Text.GameOver,GAME OVER,JUEGO TERMINADO,ИГРА ЗАКОНЧЕНА,ГРА ЗАВЕРШЕНА,JEU TERMINÉ,GAME OVER,انتهت اللعبة,GAME OVER,SPIEL VORBEI,کھیل ختم
Text.VsHuman,Vs Human,contra humano,против человека,Проти людини,Contre l'humain,Contro Umano,مقابل الإنسان,Contra Humano,Gegen Mensch,بمقابلہ انسان
Text.OfflineMode,OFFLINE MODE,MODO OFFLINE,ОФЛАЙН РЕЖИМ,ОФЛАЙН РЕЖИМ,MODE HORS-LIGNE,MODALITÀ OFFLINE,وضع غير متصل بالشبكة,MODO OFFLINE,OFFLINE-MODUS,آف لائن موڈ
Text.JoinLobby,Join Lobby,Unirse al lobby,Присоединиться к лобби,Приєднатися до лобі,Rejoindre le lobby,Unisciti alla lobby,انضم إلى الردهة,Junte-se ao lobby,Treten Sie der Lobby bei,لابی میں شامل ہوں۔
Text.Join,JOIN ,UNIRSE ,ПРИСОЕДИНИТЬСЯ ,ПРИЄДНУЙТЕСЯ ,REJOINDRE ,GIUNTURA ,ينضم ,JUNTAR ,VERBINDEN ,شمولیت 
Text.Connecting,Connecting...,Conectando...,Подключение...,Підключення...,De liaison...,Collegamento...,توصيل...,Conectando...,Verbinden...,منسلک ہو رہا ہے...
Text.Lobby,Lobby,Vestíbulo,Лобби,Вестибюль,Hall d'entrée,Atrio,ردهة,Salão,Empfangshalle,لابی
Text.CreateRoom,Create Room,Crear habitación,Создать комнату,Створити кімнату,Créer une chambre,Crea stanza,إنشاء غرفة,Criar quarto,Platz schaffen,کمرہ بنائیں
Text.RandomList,Random List,Lista aleatoria,Случайный список,Випадковий список,Liste aléatoire,Elenco casuale,قائمة عشوائية,Lista Aleatória,Zufällige Liste,بے ترتیب فہرست
Text.RoomName,Room Name,Nombre de la habitación,Название комнаты,Назва кімнати,Nom de la salle,Nome della stanza,اسم الغرفة,Nome da sala,Raumname,کمرے کا نام
Text.EnterRoomName,Enter Room Name,Ingrese el nombre de la habitación,Введите название комнаты,Введіть назву кімнати,Entrez le nom de la salle,Inserisci il nome della stanza,أدخل اسم الغرفة,Insira o nome da sala,Geben Sie den Raumnamen ein,کمرے کا نام درج کریں۔
Text.Create,Create,Crear,Создавать,Створити,Créer,Creare,يخلق,Criar,Erstellen,بنانا
Text.RoomsList,Rooms List,Lista de habitaciones,Список номеров,Список кімнат,Liste des chambres,Elenco stanze,قائمة الغرف,Lista de salas,Zimmerliste,کمروں کی فہرست
Text.InsideRoom,Inside Room,Habitación interior,Внутренняя комната,Внутрішня кімната,Chambre intérieure,Sala interna,داخل الغرفة,Quarto interno,Im Zimmer,کمرے کے اندر
Text.Record,Record,Registro,Записывать,запис,Enregistrer,Documentazione,سِجِلّ,Registro,Aufzeichnen,ریکارڈ
Text.PlayerPoints,Points,Puntos,Точки,Очки,Points,Punti,نقاط,Pontos,Punkte,پوائنٹس
Text.JustNumber,{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
Text.ScoreText,Score:,Puntaje:,Счет:,Оцінка:,Score:,Punto:,نتيجة:,Pontuação:,Punktzahl:,سکور:
Text.Player1Text,Player 1,Jugador 1,Игрок 1,Гравець 1,Joueur 1,Giocatore 1,اللاعب 1,Jogador 1,Spieler 1,کھلاڑی 1
Text.Player2Text,Player 2,Jugador 2,Игрок 2,Гравець 2,Joueur 2,Giocatore 2,اللاعب 2,Jogador 2,Spieler 2,کھلاڑی 2
Text.OnlinePlay,Online Play,Juego en línea,Онлайн-игра,Онлайн гра,Jouer en ligne,Gioco in linea,اللعب على الانترنت,Jogo on-line,Online-Spiel,آن لائن کھیلیں
Text.CreateYourRoom,Create your room,Crea tu habitación,Создайте свою комнату,Створіть свою кімнату,Créez votre chambre,Crea la tua stanza,قم بإنشاء غرفتك,Crie seu quarto,Gestalten Sie Ihr Zimmer,اپنا کمرہ بنائیں
Text.FindARoom,Find a room,encontrar una habitación,Найти комнату,Знайдіть кімнату,Trouver une chambre,Trova una stanza,ابحث عن غرفة,Encontre um quarto,Finden Sie ein Zimmer,ایک کمرہ تلاش کریں۔
Text.RoomFind,Find a room that matches your interest,Encuentra una habitación que coincida con tus intereses,"Найдите комнату, которая соответствует вашим интересам","Знайдіть кімнату, яка відповідає вашим інтересам",Trouvez une chambre qui correspond à vos intérêts,Trova una stanza che corrisponda ai tuoi interessi,ابحث عن الغرفة التي تناسب اهتماماتك,Encontre um quarto que corresponda ao seu interesse,"Finden Sie einen Raum, der Ihren Interessen entspricht",ایک کمرہ تلاش کریں جو آپ کی دلچسپی کے مطابق ہو۔
Text.P1Win,Winner: Player 1,Ganador: Jugador 1,Победитель: Игрок 1,Переможець: Гравець 1,Gagnant : Joueur 1,Vincitore: Giocatore 1,الفائز: اللاعب 1,Vencedor: Jogador 1,Gewinner: Spieler 1,فاتح: کھلاڑی 1
Text.P2Win,Winner: Player 2,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
Text.Player,Player,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
Text.AI,AI,AI,ИИ,ШІ,IA,AI,منظمة العفو الدولية,IA,KI,اے آئی